ID,task_ID,field,oldValue,newValue,createdAt,createdBy,modifiedAt,modifiedBy
30000000-0000-0000-0000-000000000001,10000000-0000-0000-0000-000000000001,status,open,in_progress,2026-09-02T10:00:00Z,anonymous,2026-09-02T10:00:00Z,anonymous
30000000-0000-0000-0000-000000000002,10000000-0000-0000-0000-000000000001,status,in_progress,open,2026-09-03T09:00:00Z,anonymous,2026-09-03T09:00:00Z,anonymous
30000000-0000-0000-0000-000000000003,10000000-0000-0000-0000-000000000001,dueDate,2026-09-15,2026-09-20,2026-09-04T11:30:00Z,anonymous,2026-09-04T11:30:00Z,anonymous
30000000-0000-0000-0000-000000000004,10000000-0000-0000-0000-000000000002,status,open,in_progress,2026-09-03T08:00:00Z,anonymous,2026-09-03T08:00:00Z,anonymous
30000000-0000-0000-0000-000000000005,10000000-0000-0000-0000-000000000002,title,Implement dark mode,Implement dark mode (settings page),2026-09-04T14:00:00Z,anonymous,2026-09-04T14:00:00Z,anonymous
30000000-0000-0000-0000-000000000006,10000000-0000-0000-0000-000000000002,dueDate,2026-09-28,2026-10-01,2026-09-05T09:00:00Z,anonymous,2026-09-05T09:00:00Z,anonymous
30000000-0000-0000-0000-000000000007,10000000-0000-0000-0000-000000000003,status,open,in_progress,2026-09-04T10:00:00Z,anonymous,2026-09-04T10:00:00Z,anonymous
30000000-0000-0000-0000-000000000008,10000000-0000-0000-0000-000000000003,status,in_progress,review,2026-09-06T16:00:00Z,anonymous,2026-09-06T16:00:00Z,anonymous
30000000-0000-0000-0000-000000000009,10000000-0000-0000-0000-000000000004,dueDate,2026-09-20,2026-09-30,2026-09-05T11:00:00Z,anonymous,2026-09-05T11:00:00Z,anonymous
30000000-0000-0000-0000-000000000010,10000000-0000-0000-0000-000000000004,tags,,urgent,2026-09-06T08:30:00Z,anonymous,2026-09-06T08:30:00Z,anonymous
30000000-0000-0000-0000-000000000011,10000000-0000-0000-0000-000000000005,status,open,in_progress,2026-09-05T13:00:00Z,anonymous,2026-09-05T13:00:00Z,anonymous
30000000-0000-0000-0000-000000000012,10000000-0000-0000-0000-000000000005,status,in_progress,review,2026-09-07T10:00:00Z,anonymous,2026-09-07T10:00:00Z,anonymous
30000000-0000-0000-0000-000000000013,10000000-0000-0000-0000-000000000005,status,review,completed,2026-09-08T15:00:00Z,anonymous,2026-09-08T15:00:00Z,anonymous
30000000-0000-0000-0000-000000000014,10000000-0000-0000-0000-000000000005,description,,Profile the main dashboard load time and identify bottlenecks above 200ms.,2026-09-06T09:00:00Z,anonymous,2026-09-06T09:00:00Z,anonymous
